weekday,n_weeks,envelope,k_M,k_TA,k_core,pattern,min_lower_M,min_lower_TA,min_y_M,min_z_M,min_y_TA,min_z_TA
Monday,9,Full weekly range,1,0,0,admissibility fragility (M only),2656.7406892468134,-4697.049023370426,930.8972979753823,848.2454092680996,6698.669801856078,5199.97187590664
Monday,9,Q10-Q90,1,0,0,admissibility fragility (M only),2692.487787147786,-4869.39909955301,1009.8509687082762,1394.3066623047725,4966.681269047134,6030.326565016378
Monday,9,Q20-Q80,1,0,0,admissibility fragility (M only),2707.4040930024617,-4336.520352595887,933.8563475257259,507.289058993292,4042.7188037558985,1955.4957528446148
Monday,9,Q25-Q75,1,0,0,admissibility fragility (M only),2910.3171444959253,-3489.279943230772,1089.0026702669627,232.59852918931415,4198.713132471076,801.6224221739972
Monday,9,Trim one extreme/side,1,0,0,admissibility fragility (M only),2403.0345157622673,-5607.380966643553,701.1368634138719,919.3248536992569,3808.727310683135,3686.3057488505415
Tuesday,8,Full weekly range,1,0,0,admissibility fragility (M only),2598.1733411237983,-4249.3456404843455,751.3277544081922,618.8654682742687,4359.788627487151,4667.627814482037
Tuesday,8,Q10-Q90,1,0,0,admissibility fragility (M only),3123.0929730420694,-2627.171660935095,957.7149513918156,107.05172640651529,4170.851799906193,1211.954272436559
Tuesday,8,Q20-Q80,1,0,0,admissibility fragility (M only),3097.7988221724313,-2463.194028529213,866.1308704293233,88.5140741436291,3299.956634435754,489.60260043228857
Tuesday,8,Q25-Q75,1,0,0,admissibility fragility (M only),2877.3959741496924,-2929.454446547489,708.1569950847007,268.7596226249133,2608.3320693583964,1157.9583067065073
Tuesday,8,Trim one extreme/side,0,0,0,double inadmissibility,3349.6877913412773,-1930.3249793654677,1043.4729229444367,-117.48083840641024,4090.3847088098782,-274.23249245253646
Wednesday,8,Full weekly range,1,0,0,admissibility fragility (M only),2985.696578026482,-3666.2490220890377,739.8517660945434,2010.5491343904944,3793.112333444502,9048.066512095862
Wednesday,8,Q10-Q90,1,0,0,admissibility fragility (M only),3500.703224663027,-1561.160486261665,1050.278918194114,324.78654581508584,4499.9807236632705,1916.9353625054684
Wednesday,8,Q20-Q80,1,0,0,admissibility fragility (M only),3673.187685992329,-93.32848135714266,710.0412226249349,37.68527371964396,4644.310624214284,342.6257436666399
Wednesday,8,Q25-Q75,1,1,0,"identity fragility (both admissible, distinct)",3667.8927363892467,64.28455832037253,606.8740059408559,418.6326313519105,4150.779095308329,1639.2790082790655
Wednesday,8,Trim one extreme/side,0,0,0,double inadmissibility,3679.2390569672784,-657.364514392505,827.9466131210218,-397.683135002946,4803.4258525505065,-1139.2637016046976
Thursday,9,Full weekly range,1,0,0,admissibility fragility (M only),619.0724292840214,-11451.27814292912,2708.4807651370297,2714.6826707256,12480.69530694094,12403.762118819053
Thursday,9,Q10-Q90,1,0,0,admissibility fragility (M only),2779.7656133772507,-3556.6169440662843,1344.9250127556377,855.6817394211491,5518.99875454857,3634.578877312002
Thursday,9,Q20-Q80,1,0,0,admissibility fragility (M only),3121.2677068344246,-2107.055290936185,718.7980828350403,741.1248932961289,2866.9765516724233,2825.0937841071673
Thursday,9,Q25-Q75,1,0,0,admissibility fragility (M only),3159.8989137777535,-1902.3563749376317,725.277918052314,972.4930864600328,2838.9056766560348,3744.8735309182975
Thursday,9,Trim one extreme/side,1,0,0,admissibility fragility (M only),3063.320896419431,-2414.1036649340103,709.0783300091298,390.9315065950365,2909.0828641970097,1442.2830669352352
Friday,9,Full weekly range,1,0,0,admissibility fragility (M only),1216.1074719162348,-9796.389124793952,1745.8159927990955,2680.8935027533203,8536.968581710518,13398.667071123144
Friday,9,Q10-Q90,1,0,0,admissibility fragility (M only),2039.4688198411604,-6214.668316160092,987.7278008774232,854.1903191087786,4779.601190014526,3742.5582241548664
Friday,9,Q20-Q80,1,0,0,admissibility fragility (M only),2663.9311055413095,-3987.4053485805052,719.9863746676065,376.09215196469154,2979.9098136324365,1403.5230327938214
Friday,9,Q25-Q75,1,0,0,admissibility fragility (M only),3179.948471841156,-2159.0234365127317,921.6258987858479,361.907524214391,3363.6865722313396,1453.6146661195019
Friday,9,Trim one extreme/side,1,0,0,admissibility fragility (M only),1856.3113437343777,-6763.57192903933,377.3336066697756,397.36909359014476,2364.051193913608,1328.3855828053006
Saturday,9,Full weekly range,1,0,0,admissibility fragility (M only),2008.4373895458853,-7319.337611127537,1269.4205161886955,2736.227385407455,7038.2827385948285,11530.738448642807
Saturday,9,Q10-Q90,1,0,0,admissibility fragility (M only),2291.1633733973913,-6368.714238920898,1066.1573260062798,1276.3271209760196,5166.459851988155,5523.397256569703
Saturday,9,Q20-Q80,1,0,0,admissibility fragility (M only),2719.288435490068,-4440.493361353187,911.0411723360771,455.0877808669319,3744.8464997741307,1729.408796754015
Saturday,9,Q25-Q75,1,0,0,admissibility fragility (M only),3156.295531624256,-2521.586489916952,1057.0329772938255,152.17465044382968,3917.7522514845873,562.5853776374414
Saturday,9,Trim one extreme/side,1,0,0,admissibility fragility (M only),2024.7321493600662,-7357.89931043626,644.8457377593942,909.457476501584,3438.280145068383,3479.64392542887
Sunday,9,Full weekly range,1,0,0,admissibility fragility (M only),2472.8383633852036,-5836.034509185214,1230.1147110207537,1718.5175406856317,6964.190845780943,7686.07055310122
Sunday,9,Q10-Q90,1,0,0,admissibility fragility (M only),2344.7989196212193,-5919.55519931024,912.4184530208273,1345.566235877847,4893.521339475128,5794.054308162149
Sunday,9,Q20-Q80,1,0,0,admissibility fragility (M only),2591.6842415135548,-4588.770400677104,896.6599277206392,465.8230800354061,3991.3244678913256,1652.2854072307066
Sunday,9,Q25-Q75,1,0,0,admissibility fragility (M only),2941.633724377228,-3094.5082692910228,1123.0061901595052,172.32689024534747,4348.006830493797,428.32749897146937
Sunday,9,Trim one extreme/side,1,0,0,admissibility fragility (M only),2061.1047376456927,-6835.818877328582,550.2658151847969,906.0673647204944,3449.4262051100704,3488.2222696195604
